time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.03490,   4.25937, -12.73900,  89.00250,  83.11210, -88.70890,   6.00847,  -0.24367,   0.59935,  -4.43148,  -5.05835,   2.69731, -10.18040,  -4.75858,   3.25611, -90.71030,   2.49559, -89.10880, -74.40920,   9.84506,   1.06084,  -1.26808,  -3.13084, -22.06360,  18.84500,   5.51982,  -7.35476,  88.38840,  10.58270, -96.29040, -62.19360,   4.69469,  -1.69679,   3.16978,   3.94251, -38.85980,  13.64950,   5.38532,  -2.46655,-176.19200,   0.31016, -35.71130,   0.14933,  -0.12251,  51.26730,  -3.49155,   6.58493, -58.52330,   0.15434,  -0.25977, -21.11850,-177.83300,  13.85050, 150.15700,   0.01164,  -0.01988,  26.76320,   2.31756,  -3.17646, -60.68540,  -0.04546,   0.02984, -16.57280
   0.03333,   0.00000,   0.00000,  -0.00000,  93.26450,   4.52731, -12.72870,  89.85930,  83.21770, -89.77160,   5.79850,  -0.03472,   0.17694,  -4.33895,  -5.13845,   2.53479, -10.36810,  -5.18729,   3.17687, -90.74240,   2.54772, -88.74820, -74.27450,   8.51860,   2.39886,  -1.42694,  -3.65577, -21.34030,  19.13140,   5.51918,  -7.32672,  88.42750,  10.31930, -96.28730, -61.80550,   5.12812,  -2.83042,   3.17909,   3.86242, -39.51760,  13.69020,   5.38497,  -2.45557,-176.93500,  -0.52628, -35.70870,   0.11446,  -0.12513,  43.41980,  -4.27033,   7.67603, -57.48810,   0.15235,  -0.25607, -21.05560,-178.16600,  14.35780, 152.24600,   0.00998,  -0.01503,  24.82280,   2.13174,  -3.04691, -60.78330,  -0.05605,   0.03661, -16.57250
   0.06667,   0.00000,   0.00000,  -0.00000,  93.20580,   4.63821, -12.51530,  91.01540,  83.24260, -91.04590,   5.74695,   0.23944,  -0.07292,  -4.41133,  -5.14939,   2.38624, -10.44130,  -5.47858,   2.96563, -90.77260,   2.60404, -88.46850, -74.04110,   7.18867,   3.58481,  -1.62723,  -4.18557, -21.26820,  19.32640,   5.51998,  -7.36034,  88.49090,  10.04180, -96.40830, -61.29360,   5.43433,  -3.83212,   3.24335,   3.84422, -40.21500,  13.79060,   5.38465,  -2.44531,-177.55600,  -1.33926, -35.07970,   0.07728,  -0.11582,  34.79220,  -4.83806,   8.22175, -56.88440,   0.14587,  -0.24421, -20.85230,-178.30000,  14.90440, 154.12200,   0.00802,  -0.00998,  23.65480,   1.92497,  -2.66628, -61.25300,  -0.04939,   0.03218, -16.57250
   0.10000,   0.00000,   0.00000,  -0.00000,  92.85620,   4.34628, -12.20720,  92.67380,  83.24780, -92.78540,   5.72450,   0.63039,  -0.25448,  -4.49798,  -4.99921,   2.28576, -10.51890,  -5.67171,   2.76564, -90.76140,   2.50863, -88.11020, -73.85370,   6.06800,   4.50424,  -1.79389,  -4.57095, -21.45520,  19.47420,   5.52551,  -7.59827,  88.56560,   9.80935, -96.63850, -60.79310,   5.64153,  -4.75448,   3.27697,   3.80760, -40.77760,  13.98490,   5.38452,  -2.44091,-177.84800,  -1.94252, -33.92440,   0.04376,  -0.09778,  25.90200,  -4.85282,   8.39931, -55.99930,   0.15470,  -0.26042, -21.12980,-178.30400,  15.15660, 155.57700,   0.00087,   0.00927,  23.52710,   1.67903,  -2.22734, -62.24350,  -0.05822,   0.00343, -16.55520
   0.13333,   0.00000,   0.00000,  -0.00000,  92.27330,   3.86231, -11.68230,  94.37480,  83.19540, -94.47330,   5.80507,   1.03716,  -0.24944,  -4.58275,  -4.82437,   2.22435, -10.65390,  -5.64497,   2.39907, -90.75890,   2.47190, -87.92830, -73.72700,   4.99681,   5.22798,  -1.84653,  -4.65557, -21.66310,  19.55310,   5.52784,  -7.70054,  88.63610,   9.54419, -96.82880, -60.35460,   5.66618,  -5.49989,   3.56520,   4.05296, -41.40570,  14.20550,   5.37543,  -2.15471,-177.82600,  -2.39775, -32.41680,   0.02341,  -0.08342,  17.73250,  -5.03581,   8.00906, -54.82940,   0.15654,  -0.26382, -21.18790,-178.22300,  15.34220, 156.76900,   0.00228,   0.01174,  24.48610,   1.53617,  -1.57186, -63.82810,  -0.10594,  -0.09278, -16.49570
   0.16667,   0.00000,   0.00000,  -0.00000,  91.57350,   3.12570, -11.18490,  95.66690,  83.17860, -95.75780,   5.81255,   1.34531,  -0.24984,  -4.68231,  -4.57161,   2.25155, -10.67280,  -5.46574,   2.23560, -90.75100,   2.41366, -87.71160, -73.61280,   4.27584,   5.68644,  -1.82496,  -4.58588, -21.72860,  19.59200,   5.52894,  -7.74892,  88.69600,   9.40692, -97.07100, -60.01840,   5.63271,  -6.04317,   3.63182,   4.05984, -41.88580,  14.40250,   5.37471,  -2.13319,-177.73000,  -2.95465, -31.12340,   0.01392,  -0.08022,  11.69430,  -5.52025,   6.55154, -54.17460,   0.15997,  -0.27017, -21.29630,-178.19300,  15.12660, 157.67300,   0.00860,   0.00038,  26.18940,   1.56153,  -1.08243, -65.85440,  -0.08777,  -0.07686, -16.51020
   0.20000,   0.00000,   0.00000,  -0.00000,  91.39810,   2.43601, -11.44720,  95.49890,  83.40800, -95.79090,   5.36171,   1.26667,  -0.64273,  -4.81954,  -4.34165,   2.40279, -10.72320,  -5.26417,   2.39263, -90.77160,   2.45169, -87.52700, -73.31340,   3.83610,   5.66419,  -1.87852,  -4.80128, -21.39830,  19.48770,   5.53602,  -8.06316,  88.70080,   9.56485, -97.22840, -59.71490,   5.54006,  -6.47568,   3.67775,   4.05901, -42.25080,  14.42360,   5.37065,  -2.00673,-178.34300,  -3.33011, -31.88000,   0.01045,  -0.07528,  10.33520,  -4.58050,   4.44536, -52.86470,   0.16177,  -0.27353, -21.35350,-178.59300,  14.74840, 157.69600,   0.02913,  -0.03487,  28.13260,   1.72614,  -0.91812, -67.96400,  -0.07149,  -0.06260, -16.52320
   0.23333,   0.00000,   0.00000,  -0.00000,  91.29170,   1.78176, -12.07770,  94.55810,  83.81090, -95.10610,   4.57858,   0.99720,  -1.13459,  -4.87964,  -4.20340,   2.78210, -10.71350,  -4.99292,   2.54422, -90.82050,   2.61534, -87.57630, -72.89190,   3.57312,   5.44739,  -2.03976,  -5.36347, -20.85870,  19.03030,   5.54613,  -8.52576,  88.66830,   9.95380, -97.34030, -59.46540,   5.55681,  -6.43038,   3.63715,   3.96219, -42.62080,  14.53050,   5.37023,  -1.99408,-178.43900,  -2.69970, -34.29220,   0.01420,  -0.07167,  14.48250,  -2.94943,   2.62102, -50.63910,   0.16938,  -0.28779, -21.59630,-179.08600,  14.49340, 157.50700,   0.04541,  -0.05954,  30.04970,   1.64906,  -0.65430, -70.06860,  -0.06029,  -0.07479, -16.64720
   0.26667,   0.00000,   0.00000,  -0.00000,  91.15900,   0.90872, -12.35890,  93.10520,  84.24280, -93.94640,   3.73696,   0.65246,  -1.70174,  -4.88356,  -4.05615,   2.91912, -10.21930,  -4.70292,   3.17436, -90.90270,   2.87713, -87.57480, -72.35410,   3.82115,   5.25549,  -2.19516,  -5.95143, -20.28950,  18.35710,   5.54735,  -8.58095,  88.60170,  10.45880, -97.34200, -59.44060,   5.98573,  -5.79721,   3.56680,   3.86599, -42.76190,  14.66290,   5.37277,  -2.07244,-177.69800,  -1.44905, -36.28300,   0.02786,  -0.09350,  19.62760,  -3.82246,   0.54173, -49.20430,   0.13927,  -0.23220, -20.64660,-179.83700,  13.86290, 157.86700,   0.05104,  -0.06312,  32.01390,   1.15126,  -0.50516, -72.08740,  -0.19906,  -0.26814, -16.93540
   0.30000,   0.00000,   0.00000,  -0.00000,  91.37250,   0.60447, -11.72650,  89.75490,  84.35560, -91.04470,   3.52394,  -0.00052,  -2.57676,  -5.02521,  -4.09292,   2.87014,  -9.81508,  -4.62792,   4.21994, -90.88670,   2.87652, -87.85950, -71.71370,   3.98173,   4.48309,  -2.12045,  -5.97733, -19.57380,  17.77960,   5.54540,  -8.49069,  88.53350,  10.92670, -97.30810, -60.39100,   5.64750,  -4.48751,   3.78319,   4.09638, -42.79780,  14.62380,   5.37435,  -2.12127,-177.95900,  -0.63071, -37.55600,   0.03467,  -0.08032,  26.17660,  -2.49771,  -0.30072, -51.69820,   0.10961,  -0.17951, -19.73800, 178.91800,  13.21900, 159.50000,   0.05489,  -0.06274,  33.71180,   0.58984,  -0.89530, -73.63190,  -0.44006,  -0.63849, -17.66760
