time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.67380,  -3.87452,   1.53668,  86.64420,  77.36740, -85.86450,  17.46980,  -1.38750,   1.77538,   6.41285,  -1.16076,  -1.54895,   2.75821,   0.02125,  -3.40726, -90.85830,   6.36829, -97.30730, -43.67320,  13.72520, -35.68400,  -3.88123,  -6.98716, -29.14890,  21.44460,   5.58855, -10.68000,  88.69070,   9.34833, -96.99070, -64.02530,   7.68237,  -2.15998,   3.10696,   7.98195, -21.35690,  10.93090,   5.32943,  -0.76887,-175.38300,  -8.50629,   6.93372,   0.00949,   0.01485,  25.31830,   1.78902,   9.75997, -72.15310,   0.18127,  -0.31036, -21.97970,-171.76900,  22.78940, 159.60800,   0.00311,   0.09159,   0.03486, -14.33080,   4.42491, -52.44800,   0.30994,  -0.36669, -20.10490
   0.03333,   0.00000,   0.00000,  -0.00000,  88.28020,  -2.82988,   1.33406,  86.62140,  77.30780, -85.67150,  17.59030,  -1.38860,   2.11815,   6.11602,  -1.34140,  -1.41068,   2.18537,  -0.19008,  -3.05712, -90.89330,   6.49500, -97.15160, -44.11610,  14.77140, -35.52450,  -4.05641,  -7.02362, -30.18680,  21.60130,   5.58968, -10.74420,  88.66440,   9.47776, -96.94100, -63.97350,   7.00351,  -1.47941,   3.02258,   8.06838, -20.62390,  10.80960,   5.32645,  -0.68182,-175.24900,  -8.03913,   8.02317,   0.00822,   0.01996,  26.53690,   1.42217,  10.80660, -72.47130,   0.23772,  -0.42291, -23.87140,-171.61700,  23.36650, 158.89300,  -0.05768,   0.01531,   1.22381, -13.82090,   2.76949, -52.34460,   0.32636,  -0.38744, -20.29930
   0.06667,   0.00000,   0.00000,  -0.00000,  87.81870,  -1.60210,   0.59179,  86.74090,  77.40520, -85.16540,  17.40610,  -1.27532,   3.35192,   6.21059,  -1.42579,  -1.26540,   1.42626,  -0.25033,  -3.12333, -90.97420,   7.05094, -97.11360, -44.65260,  16.17730, -34.40160,  -4.23134,  -7.06602, -31.07870,  21.58570,   5.59461, -11.02480,  88.64800,   9.81742, -97.11920, -63.38910,   6.64765,  -1.07134,   2.95777,   8.13654, -20.06220,  10.69810,   5.32147,  -0.53789,-173.73100,  -7.63098,   8.25153,   0.01233,   0.01379,  28.52560,   0.94236,  12.34860, -72.23470,   0.31071,  -0.58406, -26.52910,-169.56000,  21.65380, 152.57900,  -0.09786,   0.37270,  13.83040,   0.53912,   1.03245, -55.82290,   0.31284,  -0.37037, -20.13930
   0.10000,   0.00000,   0.00000,  -0.00000,  86.52450,   0.33039,  -0.88107,  86.98580,  77.78950, -84.40950,  16.65300,  -1.06454,   5.31572,   6.72521,  -1.85034,  -0.85322,   0.41845,  -0.35626,  -3.21701, -91.06260,   7.94183, -97.35390, -45.01490,  18.28060, -32.78640,  -4.00131,  -6.59319, -31.35830,  21.48870,   5.59447, -11.01650,  88.47850,  10.72920, -96.88000, -62.09320,   6.54444,  -0.65537,   2.93738,   8.06260, -20.10170,  10.40350,   5.31828,  -0.44641,-170.85300,  -7.41074,   6.39327,   0.03276,  -0.01844,  32.30950,   0.35157,  14.97760, -70.40670,   0.42221,  -0.87972, -31.27710,-167.47300,  19.73850, 150.72900,  -0.01125,   0.05331,  15.87900,   8.79701,  -0.13172, -49.38900,   0.23659,  -0.27569, -19.24540
   0.13333,   0.00000,   0.00000,  -0.00000,  85.60130,   1.42966,  -1.27831,  87.77720,  77.81630, -84.38750,  16.61320,  -0.66908,   6.88656,   6.78268,  -2.04689,  -0.40582,   0.00637,  -0.56275,  -3.13020, -91.19800,   8.52303, -96.96870, -46.44140,  20.62420, -30.86580,  -3.10064,  -5.21402, -30.79430,  20.98120,   5.59452, -11.01830,  88.37950,  11.39890, -96.85380, -60.77370,   6.55175,  -0.50439,   2.86539,   7.64506, -20.62520,  10.06290,   5.31995,  -0.49444,-168.33600,  -7.34513,   3.86128,   0.08269,  -0.07568,  38.48820,  -0.65011,  17.36550, -64.61570,   0.56341,  -1.45207, -40.14120,-169.23300,  13.55690, 149.64400,   0.02542,  -0.05477,  21.58970,   7.37108,  -6.36738, -45.49410,   0.10561,  -0.11985, -17.74850
   0.16667,   0.00000,   0.00000,  -0.00000,  85.57010,   0.98127,   0.12169,  88.57780,  77.20880, -84.90900,  17.82930,  -0.30225,   7.39921,   6.75954,  -1.80050,   0.42313,   0.08580,  -0.66066,  -3.19101, -91.22630,   7.99442, -96.24960, -50.39760,  21.91050, -27.57170,  -1.76369,  -3.07993, -29.82130,  20.56420,   5.59036, -10.78230,  88.55590,  11.02270, -97.48920, -60.27600,   7.23374,  -1.29337,   2.74803,   7.16712, -21.05000,  10.07530,   5.32361,  -0.60000,-167.07100,  -7.17196,   1.41270,   0.17370,  -0.14494,  46.47780,  -3.75595,  18.53840, -53.42940,   0.61438,  -2.01381, -48.62290,-170.04400,  12.39080, 149.72600,   0.07442,  -0.12449,  29.71780,   6.16441,  -7.74010, -50.89730,   0.05836,  -0.06562, -17.21970
   0.20000,   0.00000,   0.00000,  -0.00000,  85.30800,   1.36926,   1.57317,  88.39210,  76.59270, -84.53590,  19.06260,  -0.35815,   7.79256,   6.85506,  -2.08102,   1.34739,   0.08500,  -0.73328,  -2.00617, -91.06130,   6.86135, -96.18610, -54.70490,  22.24760, -23.91380,  -1.27467,  -2.36544, -28.33320,  19.41170,   5.58474, -10.46370,  88.63280,  10.56750, -97.58530, -60.01860,   8.62413,  -3.25677,   3.20469,   8.18620, -21.47100,  10.47850,   5.31559,  -0.36958,-166.36900,  -4.30676,  -3.42535,   0.27468,  -0.16965,  56.88730,  -8.09075,  16.53090, -42.97200,   0.57756,  -1.54422, -41.54170,-169.92600,  13.64730, 150.78200,   0.09922,  -0.12360,  35.47610,   5.60603,  -7.62497, -56.44520,   0.03072,  -0.03435, -16.91280
   0.23333,   0.00000,   0.00000,  -0.00000,  85.44790,   1.91139,   2.96796,  88.28350,  75.95510, -84.48240,  20.33710,  -0.40673,   7.70035,   6.77208,  -2.59219,   1.97502,  -0.09818,  -1.10316,  -0.25025, -91.02400,   6.64738, -96.22230, -56.46110,  23.23740, -21.30730,  -1.40878,  -2.84565, -26.35430,  16.96130,   5.57409,  -9.89050,  88.59100,  10.55760, -97.35410, -59.31860,   9.31490,  -5.47732,   3.76534,   8.90318, -23.04310,  11.03210,   5.30050,   0.05825,-166.56700,  -0.97145,  -9.17977,   0.36782,  -0.15570,  66.95600, -12.56690,  12.46130, -34.64960,   0.23665,  -0.42068, -23.83430,-170.36700,  15.15280, 152.44600,   0.12285,  -0.12749,  39.63950,   5.14647,  -7.36421, -61.04540,   0.01448,  -0.01615, -16.73340
   0.26667,   0.00000,   0.00000,  -0.00000,  85.81990,   0.69573,   4.38285,  90.16670,  75.30010, -86.67650,  21.62810,   0.50336,   6.91300,   6.54294,  -2.74041,   2.38738,  -0.14674,  -1.53504,   0.78311, -91.14890,   7.25252, -95.97350, -56.93900,  24.09740, -19.43720,  -0.55376,  -1.25635, -23.75250,  14.56880,   5.56006,  -9.18348,  88.59930,  10.70540, -97.50100, -58.46660,   9.12909,  -7.36092,   3.78107,   7.97003, -25.49460,  12.03960,   5.30086,   0.05013,-167.40500,  -0.67950, -12.58270,   0.35937,  -0.10439,  73.90220, -10.78890,   8.28400, -36.48660,   0.17250,  -0.29370, -21.69680,-171.27500,  15.85150, 155.72000,   0.10556,  -0.09939,  41.30140,   5.00055,  -6.04726, -64.43080,   0.01646,  -0.01836, -16.75510
   0.30000,   0.00000,   0.00000,  -0.00000,  86.32820,  -0.92632,   5.72880,  92.03500,  74.75400, -88.93860,  22.67870,   1.45253,   5.93143,   6.41484,  -2.53988,   2.48617,  -0.03939,  -1.81468,   1.05991, -91.29580,   7.77448, -95.50740, -57.92430,  24.07150, -17.38350,   0.63012,   1.63137, -21.14530,  14.09530,   5.54772,  -8.59924,  88.67050,  10.68630, -97.86600, -57.61650,   9.31690,  -9.37053,   2.84295,   5.50402, -27.38580,  13.15980,   5.32581,  -0.66186,-168.68000,  -1.78946, -14.81390,   0.26276,  -0.05595,  77.86260,  -5.53662,   5.28121, -42.91870,   0.16783,  -0.28488, -21.54690,-172.58300,  16.83520, 160.03400,   0.11566,  -0.10824,  40.96310,   5.13046,  -3.80373, -66.85880,  -0.00437,   0.00283, -16.57360
